timestamp,total_packets,total_bytes,duration,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,ttl,tcp_window_size,fragmented,retransmission_count,flow_bytes_per_sec,flow_packets_per_sec,avg_packet_size,flow_count,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,majority_label,majority_attack_stage,stage_purity
2026-08-27 09:00:00,357,93914,1.401905,14,183,6,0,31,57.8,35816.65,0,0,6504.645037531898,22.719034063073845,257.3739471655795,20,19,20,10,17,3,BENIGN,Normal,1.0
2026-08-27 09:00:05,334,102518,1.5058,11,197,8,0,35,58.0,36049.85,0,0,5635.341567723654,17.872262352499924,304.8562962070609,20,20,19,9,18,2,BENIGN,Normal,1.0
2026-08-27 09:00:10,330,109140,1.35981,8,131,5,0,37,55.2,36993.5,0,0,7645.361490335798,22.22146014351943,328.5465820604834,20,19,20,8,17,3,BENIGN,Normal,1.0
2026-08-27 09:00:15,406,119558,1.7177185185185184,14,156,8,0,33,56.03703703703704,29806.14814814815,0,0,4711.53560066889,16.129693748238235,291.9980719926785,27,26,27,10,26,1,BENIGN,Normal,1.0
2026-08-27 09:00:20,286,75746,1.735675,12,156,5,0,31,58.0,38802.05,0,0,3003.939308075211,13.179270863379937,255.6092440084855,20,20,20,9,18,2,BENIGN,Normal,1.0
2026-08-27 09:00:25,379,111417,1.5999666666666668,14,162,7,0,56,57.041666666666664,29413.541666666668,0,0,6575.987458849034,20.796222947742013,292.315479942526,24,23,24,10,22,2,BENIGN,Normal,1.0
2026-08-27 09:00:30,333,89956,1.811861904761905,8,160,6,0,41,54.333333333333336,41314.71428571428,0,0,3825.2576544090416,16.51374817138888,267.6632617052091,21,21,21,9,16,5,BENIGN,Normal,1.0
2026-08-27 09:00:35,321,82391,1.6985863636363638,10,155,4,0,31,57.95454545454545,35058.86363636364,0,0,3243.725217387239,13.457017048088618,251.5857011151903,22,22,22,8,20,2,BENIGN,Normal,1.0
2026-08-27 09:00:40,246,66783,1.7359125,6,91,2,0,38,55.375,35413.125,0,0,6195.622424907282,23.110544662990648,275.9241364589251,16,15,16,8,12,4,BENIGN,Normal,1.0
2026-08-27 09:00:45,275,71363,1.5028157894736842,14,128,5,0,31,56.63157894736842,28345.736842105263,0,0,4307.89718854134,16.571994492893147,262.5111551421801,19,18,19,9,17,2,BENIGN,Normal,1.0
2026-08-27 09:00:50,416,117089,1.5329499999999998,13,216,11,0,53,54.92857142857143,33345.142857142855,0,0,4105.092912181174,13.57881481587934,282.96160546381316,28,27,28,10,26,2,BENIGN,Normal,1.0
2026-08-27 09:00:55,245,68843,1.6779375,8,177,4,0,25,57.625,38216.6875,0,0,3832.056625705648,12.354801864190758,274.5511204940892,16,16,16,7,11,5,BENIGN,Normal,1.0
2026-08-27 09:01:00,218,58585,1.6606083333333332,3,111,4,0,23,54.583333333333336,34959.333333333336,0,0,3653.730293534438,14.666878310960792,267.11376623926964,12,12,12,6,11,1,BENIGN,Normal,1.0
2026-08-27 09:01:05,327,88631,1.5934899999999999,9,119,4,0,38,55.7,30272.15,0,0,3603.023145930462,13.225467032686812,267.08826506643226,20,19,20,10,17,3,BENIGN,Normal,1.0
2026-08-27 09:01:10,476,147313,1.622190625,17,225,9,0,63,54.96875,34626.125,0,0,5410.126823760048,16.101857105681443,310.08532623236493,32,30,32,9,26,6,BENIGN,Normal,1.0
2026-08-27 09:01:15,237,64535,1.35353125,6,112,5,0,26,54.9375,42211.5,0,0,4621.375925819668,20.714470048585078,268.5590814631275,16,15,16,8,13,3,BENIGN,Normal,1.0
2026-08-27 09:01:20,304,79977,1.5397571428571428,13,154,4,0,27,56.666666666666664,35499.42857142857,0,0,6101.478917802337,20.862998196041172,276.45174314112836,21,18,21,10,18,3,BENIGN,Normal,1.0
2026-08-27 09:01:25,398,126131,1.3464434782608696,14,190,9,0,40,54.56521739130435,38718.0,0,0,6111.352872017479,20.007780163647507,309.98982044292467,23,22,23,10,21,2,BENIGN,Normal,1.0
